Timestamp,X,Y,Z
5194521,0.017090,-0.024048,1.011963
5195523,0.017944,-0.023926,1.010986
5196526,0.016113,-0.023437,1.010742
5197528,0.016602,-0.024292,1.011108
5198531,0.016724,-0.023560,1.011597
5199533,0.016479,-0.023804,1.011597
5200536,0.016602,-0.023804,1.012329
5201538,0.016846,-0.024292,1.012207
5202541,0.017212,-0.023437,1.011230
5203543,0.016846,-0.023437,1.011963
5204545,0.017456,-0.024170,1.011108
5205548,0.017090,-0.023926,1.011230
5206550,0.018066,-0.023926,1.010498
5207553,0.017700,-0.023926,1.011597
5208555,0.017822,-0.023560,1.011597
5209558,0.016846,-0.024658,1.011353
5210560,0.016602,-0.024780,1.011230
5211563,0.017578,-0.024292,1.011597
5212565,0.017334,-0.024658,1.011475
5213568,0.017090,-0.023560,1.011475
5214570,0.017334,-0.023804,1.011108
5215572,0.017822,-0.024658,1.011108
5216575,0.017578,-0.024170,1.011719
5217577,0.017822,-0.024048,1.011719
5218580,0.018311,-0.024170,1.012573
5219582,0.017456,-0.023437,1.012085
5220585,0.017456,-0.024292,1.010986
5221587,0.017578,-0.024414,1.011475
5222590,0.016113,-0.025757,1.010742
5223592,0.017700,-0.024536,1.010742
5224595,0.016968,-0.023682,1.011108
5225597,0.017212,-0.023804,1.010742
5226600,0.016846,-0.026733,1.011719
5227602,0.017456,-0.025879,1.011963
5228604,0.017334,-0.025757,1.012817
5229607,0.017578,-0.025879,1.011719
5230609,0.016968,-0.025757,1.011353
5231612,0.017456,-0.025635,1.011719
5232614,0.017456,-0.024292,1.010986
5233617,0.018066,-0.024414,1.011353
5234619,0.018311,-0.023682,1.011353
5235622,0.017456,-0.024048,1.011597
5236624,0.017456,-0.023682,1.011108
5237627,0.017700,-0.024414,1.010986
5238629,0.017822,-0.023926,1.011841
5239632,0.018433,-0.024170,1.010864
5240634,0.016968,-0.023926,1.011353
5241636,0.016846,-0.023315,1.011475
5242639,0.017334,-0.023926,1.011230
5243641,0.016602,-0.023926,1.011230
5244644,0.018188,-0.024048,1.010986
5245646,0.016846,-0.024658,1.011353
5246649,0.017212,-0.024414,1.011963
5247651,0.017822,-0.024170,1.011230
5248654,0.016479,-0.023804,1.010986
5249656,0.017212,-0.024658,1.011719
5250659,0.017456,-0.023804,1.011475
5251661,0.018066,-0.023560,1.010986
5252664,0.017700,-0.023437,1.011475
5253666,0.017212,-0.023804,1.011841
5254669,0.017944,-0.024536,1.010864
5255671,0.017090,-0.025513,1.011719
5256673,0.017456,-0.023071,1.011475
5257676,0.017334,-0.025757,1.011597
5258678,0.016846,-0.024048,1.011597
5259681,0.017822,-0.022461,1.012085
5260683,0.017090,-0.022827,1.011841
5261686,0.017944,-0.023437,1.011108
5262688,0.017212,-0.025024,1.012573
5263691,0.017822,-0.023437,1.011597
5264693,0.017578,-0.023804,1.011841
5265696,0.017822,-0.024048,1.011475
5266698,0.017212,-0.023804,1.011230
5267701,0.017334,-0.023804,1.011963
5268703,0.017456,-0.023682,1.011597
5269705,0.017578,-0.024292,1.011230
5270708,0.017700,-0.024170,1.012085
5271710,0.018066,-0.024292,1.011963
5272713,0.017700,-0.023804,1.010742
5273715,0.017578,-0.024536,1.011230
5274718,0.016846,-0.024292,1.011108
5275720,0.017822,-0.024780,1.011719
5276723,0.016479,-0.026001,1.010864
5277725,0.017090,-0.023560,1.010742
5278728,0.017456,-0.025269,1.011475
5279730,0.016846,-0.023437,1.011597
5280733,0.017700,-0.024414,1.010986
5281735,0.017700,-0.024414,1.010742
5282738,0.016602,-0.023926,1.011475
5283740,0.017700,-0.024292,1.011719
5284742,0.017334,-0.023193,1.012207
5285745,0.016357,-0.025391,1.012207
5286747,0.017700,-0.026733,1.011353
5287750,0.017822,-0.024780,1.011230
5288752,0.019531,-0.024780,1.010742
5289755,0.016968,-0.023315,1.012085
5290757,0.016846,-0.025024,1.010864
5291760,0.017700,-0.024170,1.011597
5292762,0.017822,-0.026001,1.011475
5293765,0.017456,-0.024414,1.011230
5294767,0.017700,-0.024292,1.011597
5295770,0.017334,-0.024780,1.010864
5296772,0.017334,-0.023804,1.010986
5297775,0.018066,-0.023437,1.011597
5298777,0.017578,-0.023437,1.011108
5299779,0.016846,-0.023926,1.011719
5300782,0.017212,-0.024780,1.012085
5301784,0.017212,-0.026001,1.011475
5302787,0.017822,-0.024780,1.011353
5303789,0.017334,-0.021484,1.011841
5304792,0.016846,-0.023071,1.012085
5305794,0.018188,-0.023071,1.011841
5306797,0.017456,-0.026611,1.011108
5307799,0.016724,-0.024414,1.011597
5308802,0.017822,-0.024292,1.012085
5309804,0.016968,-0.024414,1.011230
5310806,0.017212,-0.023193,1.011841
5311809,0.016846,-0.023437,1.011841
5312811,0.016968,-0.023437,1.011230
5313814,0.017090,-0.023926,1.012085
5314816,0.018066,-0.024292,1.011597
5315819,0.017456,-0.023193,1.011841
5316821,0.017334,-0.024902,1.010864
5317824,0.017822,-0.020874,1.008301
5318826,0.017212,-0.024292,1.011353
5319829,0.016602,-0.024658,1.011841
5320831,0.017822,-0.025146,1.011353
5321834,0.017334,-0.023804,1.011475
5322836,0.017212,-0.023926,1.011719
5323839,0.017700,-0.024414,1.011108
5324841,0.017456,-0.024048,1.010986
5325843,0.017578,-0.023682,1.011597
5326846,0.017700,-0.023682,1.010986
5327848,0.017700,-0.024170,1.011353
5328851,0.017334,-0.023804,1.011353
5329853,0.017700,-0.022949,1.010620
5330856,0.018311,-0.024414,1.012085
5331858,0.017334,-0.024536,1.011108
5332861,0.017334,-0.024902,1.011963
5333863,0.017700,-0.024414,1.011475
5334866,0.017822,-0.025024,1.011597
5335868,0.018066,-0.023193,1.011597
5336871,0.017700,-0.024170,1.011719
5337873,0.017334,-0.023071,1.010986
5338875,0.017578,-0.023926,1.011597
5339878,0.018066,-0.023926,1.011719
5340880,0.017944,-0.025024,1.011963
5341883,0.016724,-0.024780,1.010986
5342885,0.018433,-0.023682,1.011108
5343888,0.017090,-0.024658,1.011719
5344890,0.017090,-0.024170,1.011719
5345893,0.017090,-0.023926,1.011230
5346895,0.016724,-0.025146,1.011719
5347898,0.017578,-0.023193,1.012207
5348900,0.017578,-0.024902,1.012085
5349903,0.017334,-0.024414,1.011597
5350905,0.017578,-0.024780,1.011597
5351908,0.017334,-0.023804,1.010742
5352910,0.017456,-0.023804,1.011719
5353912,0.017700,-0.024414,1.011841
5354915,0.017578,-0.024048,1.011475
5355917,0.016357,-0.023926,1.011475
5356920,0.016846,-0.022095,1.010742
5357922,0.018188,-0.023682,1.010742
5358925,0.017212,-0.023193,1.011353
5359927,0.017944,-0.024414,1.010498
5360930,0.017456,-0.025879,1.013062
5361932,0.017456,-0.023560,1.011230
5362935,0.017822,-0.022827,1.011597
5363937,0.017822,-0.024292,1.010986
5364940,0.017456,-0.025024,1.010620
5365942,0.017212,-0.023926,1.010742
5366945,0.017212,-0.023193,1.011108
5367947,0.017334,-0.023071,1.011108
5368949,0.017822,-0.022949,1.011597
5369952,0.017090,-0.024170,1.010986
5370954,0.017578,-0.025024,1.011719
5371957,0.017822,-0.022827,1.011230
5372959,0.017700,-0.023926,1.010986
5373962,0.017700,-0.024536,1.011108
5374964,0.016846,-0.024414,1.011963
5375967,0.017578,-0.024780,1.010986
5376969,0.017334,-0.024292,1.010986
5377972,0.018066,-0.023560,1.011353
5378974,0.017700,-0.024292,1.011353
5379977,0.017334,-0.024170,1.010620
5380979,0.017578,-0.025269,1.010986
5381981,0.018066,-0.024048,1.010864
5382984,0.017822,-0.023437,1.012085
5383986,0.018188,-0.023437,1.011963
5384989,0.017944,-0.024902,1.011230
